id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
1fa55a25c926e2bb,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,cufflinks/2.2.1.3,,,6521136953134.0000000,32212.0000000,6.0000000,32212254720.0000000,4511510528.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,1580.0000000
0745c15e2b4a2b1c,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,wig_to_bigWig,,,10407653453.0000000,10737.0000000,1.0000000,10737418240.0000000,948367360.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,11.0000000
34de0da52df53779,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,wig_to_bigWig,,,10033583131.0000000,10737.0000000,1.0000000,10737418240.0000000,906330112.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,10.0000000
1c0dface6800aded,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,74323205001.0000000,4080.0000000,1.0000000,4080218112.0000000,2025230336.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,75.0000000
9841822d9b7eb5fd,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,72577735218.0000000,4080.0000000,1.0000000,4080218112.0000000,2514616320.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,73.0000000
49cfb0dbe8789fec,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,revertR2orientationInBam/0.0.2,,,175340677777.0000000,4080.0000000,1.0000000,4080218112.0000000,1037795328.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,176.0000000
5267110fc825d3d1,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,wig_to_bigWig,,,20092722180.0000000,10737.0000000,1.0000000,10737418240.0000000,1796112384.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,20.0000000
c922b9803fa5d8d0,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,96277629411.0000000,4080.0000000,1.0000000,4080218112.0000000,2762661888.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,97.0000000
1eb3762a98ad1c9b,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,bamFilter/2.5.2+galaxy1,,,292739048619.0000000,4080.0000000,1.0000000,4080218112.0000000,1399414784.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,292.0000000
4bb22f5eb8c9a524,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,param_value_from_file,,,3616021045.0000000,4080.0000000,1.0000000,4080218112.0000000,184705024.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,3.0000000
c63ced0356e8d64f,3f801f8484f6226d,Ice-Lake 3 ice ice-lake 2GB Default,ok,multiqc/1.11+galaxy1,,,6823191776.0000000,12240.0000000,1.0000000,12240654336.0000000,117202944.0000000,9223372036854771712.0000000,197850744.0000000,48.0000000,7.0000000
