Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,4520.0000000,10272968061583.0000000,32212254720.0000000,26005213184.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,ok,4.0000000,16320.0000000,250.0000000,334552358564.0000000,16320872448.0000000,6960627712.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,86.0000000,81382660665.0000000,4080218112.0000000,3712147456.0000000
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,39.0000000,39707472870.0000000,4080218112.0000000,5189632.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,ok,4.0000000,16320.0000000,253.0000000,339681951338.0000000,16320872448.0000000,7247265792.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,729.0000000,1670647898850.0000000,12884901888.0000000,12209266688.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,error,,,,,,
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,86.0000000,81484668247.0000000,4080218112.0000000,3712028672.0000000
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,1698.0000000,3296314421817.0000000,8589934592.0000000,532066304.0000000
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,error,,,,,,
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_indelqual,2.1.5+galaxy0,ok,1.0000000,12240.0000000,155.0000000,149270528765.0000000,12240654336.0000000,2962407424.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,ok,4.0000000,16320.0000000,251.0000000,335568775959.0000000,16320872448.0000000,6960574464.0000000
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,ok,4.0000000,16320.0000000,252.0000000,338350375245.0000000,16320872448.0000000,6025895936.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,snpEffx,4.3+T.galaxy1,ok,1.0000000,12884.0000000,4.0000000,4200302591.0000000,12884901888.0000000,183545856.0000000
0,N/A,Unknown,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,40.0000000,39371473760.0000000,4080218112.0000000,5152768.0000000
0,N/A,Unknown,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,1696.0000000,3294255192570.0000000,8589934592.0000000,792559616.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,209148391.0000000,16320872448.0000000,14254080.0000000
2,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,87.0000000,81503036200.0000000,4080218112.0000000,3712126976.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,698.0000000,1588059905065.0000000,12884901888.0000000,12228657152.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,snpEffx,4.3+T.galaxy1,ok,1.0000000,12884.0000000,4.0000000,4282534049.0000000,12884901888.0000000,184102912.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,4595.0000000,10401320685246.0000000,32212254720.0000000,25996808192.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,snpEffx,4.3+T.galaxy1,ok,1.0000000,12884.0000000,4.0000000,4236015777.0000000,12884901888.0000000,184057856.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,90.0000000,348583883624.0000000,16320872448.0000000,4248301568.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,725.0000000,1659611210481.0000000,12884901888.0000000,12214235136.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,169.0000000,149646165052.0000000,51539607552.0000000,4547747840.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,210397747.0000000,16320872448.0000000,14221312.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,92.0000000,359082262776.0000000,16320872448.0000000,4310061056.0000000
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,711.0000000,1624745872648.0000000,12884901888.0000000,12233170944.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,169.0000000,149763110690.0000000,51539607552.0000000,4537917440.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,error,,,,,,
0,N/A,Unknown,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,161.0000000,149956922867.0000000,51539607552.0000000,5829120000.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,149.0000000,145804796476.0000000,51539607552.0000000,4534366208.0000000
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,snpEffx,4.3+T.galaxy1,ok,1.0000000,12884.0000000,4.0000000,4224697344.0000000,12884901888.0000000,180326400.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,error,,,,,,
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,40.0000000,39891526713.0000000,4080218112.0000000,5136384.0000000
0,N/A,Unknown,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,93.0000000,353950003874.0000000,16320872448.0000000,6319022080.0000000
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,98.0000000,374723251921.0000000,16320872448.0000000,4330160128.0000000
2,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_indelqual,2.1.5+galaxy0,ok,1.0000000,12240.0000000,155.0000000,149592303986.0000000,12240654336.0000000,2962673664.0000000
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,87.0000000,81444150320.0000000,4080218112.0000000,3712323584.0000000
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,39.0000000,39023793512.0000000,4080218112.0000000,5210112.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,snpEffx,4.3+T.galaxy1,ok,1.0000000,12884.0000000,4.0000000,4178782293.0000000,12884901888.0000000,187432960.0000000
2,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,723.0000000,1653540935541.0000000,12884901888.0000000,12214779904.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,88.0000000,81845886681.0000000,4080218112.0000000,3712184320.0000000
2,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,206729716.0000000,16320872448.0000000,14024704.0000000
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_indelqual,2.1.5+galaxy0,ok,1.0000000,12240.0000000,154.0000000,149462276670.0000000,12240654336.0000000,2962534400.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_indelqual,2.1.5+galaxy0,ok,1.0000000,12240.0000000,154.0000000,149161907648.0000000,12240654336.0000000,2962681856.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,168.0000000,149199102520.0000000,51539607552.0000000,4540141568.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,40.0000000,39378161835.0000000,4080218112.0000000,5189632.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,error,,,,,,
