id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
42e1e22f787195ac,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,cufflinks/2.2.1.3,,,9449988713907.0000000,17179.0000000,8.0000000,17179869184.0000000,7222243328.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,2827.0000000
c0720b5769f74623,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,wig_to_bigWig,,,17377182851.0000000,10737.0000000,1.0000000,10737418240.0000000,1496236032.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,18.0000000
0ad999979aba94cb,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,wig_to_bigWig,,,16610036335.0000000,10737.0000000,1.0000000,10737418240.0000000,1430499328.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,17.0000000
d0f2d8c4b88ff0d7,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,164007568587.0000000,4080.0000000,1.0000000,4080218112.0000000,2042286080.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,165.0000000
cee82977678a86d0,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,160291788080.0000000,4080.0000000,1.0000000,4080218112.0000000,3894362112.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,160.0000000
5b70892e4fdf26cd,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,revertR2orientationInBam/0.0.2,,,433837131499.0000000,4080.0000000,1.0000000,4080218112.0000000,2364547072.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,435.0000000
04256ed60b81bb5e,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,wig_to_bigWig,,,33401068474.0000000,10737.0000000,1.0000000,10737418240.0000000,2813419520.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,35.0000000
c75337458550d78c,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,211625673852.0000000,4080.0000000,1.0000000,4080218112.0000000,4079771648.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,213.0000000
5dbce88cc6ed110a,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,bamFilter/2.5.2+galaxy1,,,706516001540.0000000,4080.0000000,1.0000000,4080218112.0000000,4079767552.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,707.0000000
39200c0408ff76cf,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,param_value_from_file,,,3644600320.0000000,4080.0000000,1.0000000,4080218112.0000000,186650624.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
70274e0fedf43811,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,multiqc/1.11+galaxy1,,,6757599585.0000000,12240.0000000,1.0000000,12240654336.0000000,128323584.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,7.0000000
50ce5ed37d1f664f,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,tp_awk_tool/1.1.2,,,60671938.0000000,4080.0000000,1.0000000,4080218112.0000000,4894720.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
9af3fb2c005328eb,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,tp_awk_tool/1.1.2,,,296859566.0000000,4080.0000000,1.0000000,4080218112.0000000,8241152.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1.0000000
154443085b806c25,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,rna_star/2.7.8a+galaxy1,,,4263363893967.0000000,53687.0000000,10.0000000,53687091200.0000000,53687025664.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1095.0000000
26398469c5f19a8e,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,cutadapt/4.0+galaxy1,,,1680646958364.0000000,20401.0000000,5.0000000,20401094656.0000000,14393712640.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,408.0000000
0fd927fba88fc5e4,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,map_param_value/0.1.1,,,3828792628.0000000,4080.0000000,1.0000000,4080218112.0000000,184442880.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
9039d48eae974c15,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,map_param_value/0.1.1,,,3621223006.0000000,4080.0000000,1.0000000,4080218112.0000000,184340480.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
db1ce646b598f638,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,map_param_value/0.1.1,,,3550990852.0000000,4080.0000000,1.0000000,4080218112.0000000,184360960.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
1971b276d0a9d2c7,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,map_param_value/0.1.1,,,3503280313.0000000,4080.0000000,1.0000000,4080218112.0000000,184139776.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
6da356dcc85b1bae,7ba19bab392b64ee,Main-Matrix 1 costs col-g 5GB Default,ok,compose_text_param/0.1.1,,,3826554258.0000000,4080.0000000,1.0000000,4080218112.0000000,183926784.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
