id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
2a93a9d78fad7269,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,cufflinks/2.2.1.3,,,13020009653671.0000000,68719.0000000,16.0000000,68719476736.0000000,10995560448.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4734.0000000
5a64d438c3107935,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,wig_to_bigWig,,,23997403932.0000000,10737.0000000,1.0000000,10737418240.0000000,2024865792.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,25.0000000
df6566e6724e0e9f,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,wig_to_bigWig,,,22873100341.0000000,10737.0000000,1.0000000,10737418240.0000000,1935314944.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,23.0000000
aad198a92054eee4,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,294243159894.0000000,4080.0000000,1.0000000,4080218112.0000000,4079763456.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,295.0000000
740a3090bcca2d5f,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,286067234702.0000000,4080.0000000,1.0000000,4080218112.0000000,3789041664.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,286.0000000
fc8841c5521f1941,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,revertR2orientationInBam/0.0.2,,,858338447077.0000000,4080.0000000,1.0000000,4080218112.0000000,4079886336.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,861.0000000
110c7dc608786d1e,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,wig_to_bigWig,,,45897645738.0000000,10737.0000000,1.0000000,10737418240.0000000,3780628480.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,48.0000000
b2302a650831e6b0,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,385903173278.0000000,4080.0000000,1.0000000,4080218112.0000000,2879102976.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,386.0000000
355fb5ec02c1b78a,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,error,bedtools_genomecoveragebed/2.30.0,,,,,,,,,,,
0f53479766a9b8a7,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,bamFilter/2.5.2+galaxy1,,,1380881969851.0000000,4080.0000000,1.0000000,4080218112.0000000,4079751168.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1381.0000000
49e35e62a48d0270,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,param_value_from_file,,,3662763845.0000000,4080.0000000,1.0000000,4080218112.0000000,186834944.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
e705d91ad6e7a243,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,multiqc/1.11+galaxy1,,,6581337216.0000000,12240.0000000,1.0000000,12240654336.0000000,127946752.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,7.0000000
3b792556f92748e6,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,tp_awk_tool/1.1.2,,,61232830.0000000,4080.0000000,1.0000000,4080218112.0000000,5242880.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
5c4f8bd7d9f4165f,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,tp_awk_tool/1.1.2,,,292000706.0000000,4080.0000000,1.0000000,4080218112.0000000,7831552.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
1ede047df6678c0e,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,rna_star/2.7.8a+galaxy1,,,7818454743809.0000000,68719.0000000,16.0000000,68719476736.0000000,68719452160.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1696.0000000
7bb561340ead39ef,729962594c00fb26,Main-Matrix 1 costs col-e 10GB Default,ok,cutadapt/4.0+galaxy1,,,3311969933158.0000000,20401.0000000,5.0000000,20401094656.0000000,20400623616.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,799.0000000
