id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
f341f502b67ff0e5,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,cufflinks/2.2.1.3,,,10163323105382.0000000,137438.0000000,32.0000000,137438953472.0000000,7436705792.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,2527.0000000
232f87a51efb1bb7,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,revertR2orientationInBam/0.0.2,,,441559337456.0000000,4080.0000000,1.0000000,4080218112.0000000,4079906816.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,443.0000000
2f9f054f05f8f6b7,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,bamFilter/2.5.2+galaxy1,,,708610169828.0000000,4080.0000000,1.0000000,4080218112.0000000,4079570944.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,709.0000000
79ed6209c420786a,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,tp_awk_tool/1.1.2,,,289563126.0000000,4080.0000000,1.0000000,4080218112.0000000,7987200.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
aa55f497fb88b3d3,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,param_value_from_file,,,3421486365.0000000,4080.0000000,1.0000000,4080218112.0000000,186617856.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
4a20b005464a117f,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,multiqc/1.11+galaxy1,,,6654943679.0000000,12240.0000000,1.0000000,12240654336.0000000,128360448.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,7.0000000
72e8fe8db72e9f2f,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,tp_awk_tool/1.1.2,,,60052315.0000000,4080.0000000,1.0000000,4080218112.0000000,5451776.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
6faab0fca5676023,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,error,tp_awk_tool/1.1.2,,,,,,,,,,,
7e74a535a4d82375,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,rna_star/2.7.8a+galaxy1,,,4710388391456.0000000,137438.0000000,32.0000000,137438953472.0000000,63470895104.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1017.0000000
6ac6b11e291455d1,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,cutadapt/4.0+galaxy1,,,1649497315646.0000000,20401.0000000,5.0000000,20401094656.0000000,9739980800.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,386.0000000
062952b215d55371,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,error,cutadapt/4.0+galaxy1,,,,,,,,,,,
9325b29b42743efd,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,map_param_value/0.1.1,,,3621458475.0000000,4080.0000000,1.0000000,4080218112.0000000,183984128.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
299053b3c541a1a1,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,map_param_value/0.1.1,,,3529057417.0000000,4080.0000000,1.0000000,4080218112.0000000,183926784.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
c84525ec32c85a5b,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,map_param_value/0.1.1,,,3592609039.0000000,4080.0000000,1.0000000,4080218112.0000000,184115200.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
3b8c139a3cc39249,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,compose_text_param/0.1.1,,,3529470861.0000000,4080.0000000,1.0000000,4080218112.0000000,185004032.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
0a4904df75728760,b0ccaa7651b0cef6,Main-Matrix 1 costs col-f 5GB Default,ok,map_param_value/0.1.1,,,3549657758.0000000,4080.0000000,1.0000000,4080218112.0000000,184270848.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
