id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
156890dd828aef6f,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,revertR2orientationInBam/0.0.2,,,429874389901.0000000,4080.0000000,1.0000000,4080218112.0000000,4079882240.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,431.0000000
9005833a0f61029a,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,bamFilter/2.5.2+galaxy1,,,707579144394.0000000,4080.0000000,1.0000000,4080218112.0000000,4079771648.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,708.0000000
89dcfb5e0b09c765,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,param_value_from_file,,,3584569962.0000000,4080.0000000,1.0000000,4080218112.0000000,186748928.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
c54c2df3866f4d5c,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,multiqc/1.11+galaxy1,,,6636027197.0000000,12240.0000000,1.0000000,12240654336.0000000,124219392.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,7.0000000
a2ead4ff4427a1a0,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,tp_awk_tool/1.1.2,,,60377163.0000000,4080.0000000,1.0000000,4080218112.0000000,5169152.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
4304a9ae69915f20,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,rna_star/2.7.8a+galaxy1,,,4282386899522.0000000,68719.0000000,8.0000000,68719476736.0000000,57178742784.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1145.0000000
b861688c53cd4981,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,cutadapt/4.0+galaxy1,,,1674895137044.0000000,20401.0000000,5.0000000,20401094656.0000000,14513209344.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,409.0000000
5253f30f2ca4311a,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,map_param_value/0.1.1,,,3700989988.0000000,4080.0000000,1.0000000,4080218112.0000000,184143872.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
0c518e3c78293f51,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,map_param_value/0.1.1,,,3903456401.0000000,4080.0000000,1.0000000,4080218112.0000000,184479744.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
7e13645a790915ae,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,map_param_value/0.1.1,,,3751894056.0000000,4080.0000000,1.0000000,4080218112.0000000,184225792.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
a2bb2b25686b3164,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,compose_text_param/0.1.1,,,3540826738.0000000,4080.0000000,1.0000000,4080218112.0000000,184971264.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
c02ed75a131303b0,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,ok,map_param_value/0.1.1,,,3648435525.0000000,4080.0000000,1.0000000,4080218112.0000000,184475648.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
f9f657aaa7c514bc,9b815be532500069,Main-Matrix 1 costs col-d 5GB Default,error,map_param_value/0.1.1,,,,,,,,,,,
