id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
363dc084798f6652,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,cufflinks/2.2.1.3,,,7806091104014.0000000,137438.0000000,32.0000000,137438953472.0000000,3144269824.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1110.0000000
accaec5de0d35916,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,error,cufflinks/2.2.1.3,,,,,,,,,,,
291687b11ce8b915,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,wig_to_bigWig,,,10670412039.0000000,10737.0000000,1.0000000,10737418240.0000000,948338688.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,11.0000000
dde820af8683b78e,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,79064099564.0000000,4080.0000000,1.0000000,4080218112.0000000,2025267200.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,80.0000000
139fe24449f9549b,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,wig_to_bigWig,,,10563715765.0000000,10737.0000000,1.0000000,10737418240.0000000,906379264.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,11.0000000
792cb99ff314becb,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,77903273292.0000000,4080.0000000,1.0000000,4080218112.0000000,2514620416.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,78.0000000
3979f16f6793843e,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,error,bedtools_genomecoveragebed/2.30.0,,,,,,,,,,,
051011382f6bdf98,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,revertR2orientationInBam/0.0.2,,,180788249093.0000000,4080.0000000,1.0000000,4080218112.0000000,1020616704.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,181.0000000
5940a1588dcf9938,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,wig_to_bigWig,,,20455682905.0000000,10737.0000000,1.0000000,10737418240.0000000,1797525504.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,22.0000000
648cee068859d1e7,041d44e80e8fad38,Main-Matrix 1 costs col-f 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,103925809942.0000000,4080.0000000,1.0000000,4080218112.0000000,2781007872.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,106.0000000
