Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
2,cascade,Default,28887f967f9cebd2,d6f2d3e941e27886,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,4080.0000000,101.0000000,97382039398.0000000,4080218112.0000000,1698926592.0000000
3,cascade,Default,28887f967f9cebd2,7550a34491c8572b,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,Cut1,unknown,ok,1.0000000,4080.0000000,1.0000000,123497210.0000000,4080218112.0000000,7847936.0000000
2,cascade,Default,28887f967f9cebd2,d6f2d3e941e27886,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_read_10x,1.0.4+galaxy0,ok,1.0000000,4080.0000000,11.0000000,10695587854.0000000,4080218112.0000000,909291520.0000000
2,cascade,Default,28887f967f9cebd2,ddf2fa9635ff98e6,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,124246907.0000000,4080218112.0000000,7467008.0000000
3,cascade,Default,28887f967f9cebd2,93915dcb6652de5e,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,4080.0000000,7.0000000,7669972623.0000000,4080218112.0000000,759873536.0000000
1,cascade,Default,28887f967f9cebd2,adc4cfeaadfbdbdd,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_empty_drops,1.0.4+galaxy0,ok,1.0000000,4080.0000000,27.0000000,26881148509.0000000,4080218112.0000000,1830559744.0000000
2,cascade,Default,28887f967f9cebd2,248edeac106c8d88,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,4080.0000000,14.0000000,9642893328.0000000,4080218112.0000000,1245507584.0000000
3,cascade,Default,28887f967f9cebd2,42f30d39b383629f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,error,,,,,,
1,cascade,Default,28887f967f9cebd2,ace42225b65c8d46,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_read_10x,1.0.4+galaxy0,ok,1.0000000,4080.0000000,11.0000000,10645434627.0000000,4080218112.0000000,908771328.0000000
1,cascade,Default,28887f967f9cebd2,ace42225b65c8d46,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,ok,8.0000000,98784.0000000,1023.0000000,5323787513741.0000000,98784247808.0000000,18194817024.0000000
2,cascade,Default,28887f967f9cebd2,ddf2fa9635ff98e6,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,1.0000000,4080.0000000,44.0000000,41224086724.0000000,4080218112.0000000,1219629056.0000000
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_read_10x,1.0.4+galaxy0,deleted,,,,,,
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,4080.0000000,18.0000000,18145292118.0000000,4080218112.0000000,2032943104.0000000
3,cascade,Default,28887f967f9cebd2,7550a34491c8572b,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,1.0000000,4080.0000000,45.0000000,41334055103.0000000,4080218112.0000000,1226452992.0000000
3,cascade,Default,28887f967f9cebd2,93915dcb6652de5e,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,ok,8.0000000,98784.0000000,502.0000000,1718752881225.0000000,98784247808.0000000,17371287552.0000000
3,cascade,Default,28887f967f9cebd2,42f30d39b383629f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,4080.0000000,17.0000000,17052641740.0000000,4080218112.0000000,2025193472.0000000
1,cascade,Default,28887f967f9cebd2,adc4cfeaadfbdbdd,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,4080.0000000,47.0000000,47488345563.0000000,4080218112.0000000,3825315840.0000000
3,cascade,Default,28887f967f9cebd2,93915dcb6652de5e,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,126863598.0000000,4080218112.0000000,7589888.0000000
1,cascade,Default,28887f967f9cebd2,adc4cfeaadfbdbdd,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,1.0000000,4080.0000000,47.0000000,42192211677.0000000,4080218112.0000000,946622464.0000000
3,cascade,Default,28887f967f9cebd2,7550a34491c8572b,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,CONVERTER_gz_to_uncompressed,unknown,ok,1.0000000,4080.0000000,2.0000000,1371498773.0000000,4080218112.0000000,299384832.0000000
1,cascade,Default,28887f967f9cebd2,adc4cfeaadfbdbdd,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_read_10x,1.0.4+galaxy0,error,,,,,,
2,cascade,Default,28887f967f9cebd2,248edeac106c8d88,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_empty_drops,1.0.4+galaxy0,deleted,,,,,,
2,cascade,Default,28887f967f9cebd2,ddf2fa9635ff98e6,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,ok,8.0000000,98784.0000000,1523.0000000,7308095415824.0000000,98784247808.0000000,30102233088.0000000
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,Cut1,unknown,deleted,,,,,,
